Timestamp,Participant ID,Condition ID ,Dataset ID,My actions were dependent on the other’s actions.,The other’s actions were dependent on my actions.,My behavior was in direct response to the other’s behavior.,The behavior of the other was direct response to my behavior.,What the other did affected what I did.,What I did affected what the other did. ,My partner did not help me very much. ,I did not help the other very much. ,My partner worked with me to complete the task. ,I worked with the other individual to complete the task. ,The other could not act without me. ,I could not act with the other. 
8/31/2022 9:39:55,P10,PC PC,D3,2,2,3,3,3,3,5,5,5,5,3,3
8/31/2022 9:39:56,P9,PC PC,D3,5,5,5,5,6,6,2,2,5,5,5,1
9/1/2022 18:23:14,P13,PC PC,D1,4,4,5,5,6,6,1,1,6,6,2,2
9/1/2022 18:23:48,14,PC PC,D1,5,5,6,6,6,6,5,5,6,6,4,4
9/1/2022 18:54:39,P13,PC VR,D2,6,6,6,6,5,5,1,1,6,6,2,2
9/1/2022 18:55:04,14,PC VR,D2,6,6,5,5,6,6,6,5,7,7,6,6
9/1/2022 19:24:35,P13,VR VR,D3,6,6,6,6,4,4,2,2,6,6,2,2
9/1/2022 19:25:10,14,VR VR,D3,5,4,5,4,6,7,5,6,7,7,5,5
9/3/2022 11:15:37,P16,PC PC,D1,5,5,6,6,6,5,2,2,6,6,6,6
9/3/2022 11:17:21,p15,PC PC,D1,3,3,3,3,3,3,2,2,6,6,5,2
9/3/2022 11:45:49,P16,VR VR,D2,7,6,7,7,5,5,1,1,6,7,6,7
9/3/2022 11:49:10,P15,VR VR,D2,2,2,3,3,6,6,2,2,6,6,6,6
9/3/2022 12:08:15,P16,PC VR,D3,7,6,7,7,7,6,2,2,7,7,6,7
9/3/2022 14:30:58,P15,PC VR,D3,2,2,6,6,5,5,1,1,6,6,6,6
9/6/2022 13:28:34,P18,VR VR,D1,3,5,4,6,4,6,5,1,4,4,2,5
9/6/2022 13:29:15,P17,VR VR,D1,4,4,5,3,5,4,1,1,7,7,4,4
9/6/2022 13:48:26,P18,PC PC,D2,6,6,5,6,5,6,2,2,6,6,6,2
9/6/2022 13:48:55,P17,PC PC,D2,5,5,3,4,6,5,1,1,7,7,5,5
9/6/2022 14:07:29,P18,PC VR,D3,6,5,6,6,5,5,2,2,6,6,2,2
9/6/2022 14:07:31,P17,PC VR,D3,3,3,5,5,6,6,1,1,7,7,3,3
9/7/2022 20:03:01,p22,PC VR,D1,7,7,7,7,4,4,1,1,7,7,4,4
9/7/2022 20:03:52,21,PC VR,D1,5,5,6,6,6,6,1,1,6,6,3,3
9/7/2022 20:32:54,p22,VR VR,D2,7,7,7,7,7,7,1,1,7,7,1,1
9/7/2022 20:33:36,21,VR VR,D2,6,6,6,6,6,6,1,1,6,6,3,3
9/7/2022 20:53:05,p22,PC PC,D3,7,7,7,7,7,7,1,1,7,7,1,1
9/7/2022 20:53:14,21,PC PC,D3,6,6,6,6,6,6,1,1,6,6,3,3
9/8/2022 13:14:33,P23,PC VR,D1,4,4,4,4,4,5,1,2,6,6,2,3
9/8/2022 13:14:37,P24,PC VR,D1,4,4,6,5,7,7,2,6,7,7,1,1
9/8/2022 13:33:08,P23,PC PC,D2,4,4,7,7,7,7,1,1,7,7,1,1
9/8/2022 13:33:13,P24,PC PC,D2,6,6,6,6,7,7,2,2,7,7,2,2
9/8/2022 13:54:18,P23,VR VR,D3,4,4,7,7,7,7,1,1,7,7,1,1
9/8/2022 13:54:36,P24,VR VR,D3,6,6,6,6,7,6,1,2,7,7,2,2
9/8/2022 20:24:53,P11,PC VR,D1,4,4,5,4,3,5,3,3,1,3,1,1
9/8/2022 20:25:24,p12,PC VR,D1,5,4,5,4,5,4,1,2,7,7,2,2
9/8/2022 20:42:28,P11,PC PC,D2,1,1,5,3,5,1,1,4,1,4,1,3
9/8/2022 20:42:50,p12,PC PC,D2,5,4,6,4,6,4,1,1,7,7,1,1
9/8/2022 20:57:02,P11,VR VR,D3,5,4,4,4,5,5,2,4,6,6,1,1
9/8/2022 20:57:14,p12,VR VR,D3,4,2,5,1,5,2,1,1,7,7,2,4
9/10/2022 4:00:32,P1,PC PC,D1,1,1,5,4,1,4,1,7,7,7,1,1
9/10/2022 4:01:49,P2,PC PC,D1,5,2,2,2,6,2,2,4,2,6,2,3
9/10/2022 4:37:26,P1,PC VR,D2,1,7,1,7,1,7,6,7,2,2,6,1
9/10/2022 4:38:01,P2,PC VR,D2,4,5,2,2,2,3,2,5,4,5,2,2
9/10/2022 5:15:11,P2,VR VR,D3,3,3,4,4,3,4,2,2,5,5,3,6
9/10/2022 5:16:30,P1,VR VR,D3,7,7,1,5,6,6,2,2,7,7,1,1
9/12/2022 20:07:57,P19,VR VR,D1,4,4,2,2,6,5,2,1,7,7,7,7
9/12/2022 20:08:18,P20,VR VR,D1,3,3,3,3,2,2,1,1,6,5,7,7
9/12/2022 20:37:22,P19,PC VR,D2,5,4,6,5,6,6,1,2,7,7,6,6
9/12/2022 20:37:58,P20,PC VR,D2,4,5,5,5,5,4,1,1,6,6,1,1
9/12/2022 20:59:26,P19,PC PC,D3,4,4,7,7,6,6,1,1,7,7,6,6
9/12/2022 21:00:13,P20,PC PC,D3,4,1,5,4,5,5,1,1,7,7,1,1
